Nº,Project,TestClassName,Assrtions,Conditions,TryCatch,Loop,Hamcrest,Mockito,BadApi,LOC,Expressions,Depth,Vocabulary,Understandability,BodySize,Dexterity,NonWhiteCharacters
1,RxJava,TestSingleThreadedObservable,0,0,2,1,0,0,0,55,95,18,28,1333,120,3,952
2,RxJava,ConvertToCylonDetector,0,0,0,0,0,0,0,3,19,6,9,166,6,2,231
3,RxJava,ParallelFilterTest,4,0,2,2,0,0,0,69,221,17,41,2848,290,2,1604
4,RxJava,AllSubscriber,0,0,0,0,0,0,0,0,34,5,20,316,6,2,342
5,RxJava,SingleNullTests,11,5,6,6,0,0,0,652,2224,17,235,33297,2679,2,18487
6,RxJava,ObservableConcatWithMaybeTest,9,0,0,0,0,0,0,147,389,19,53,5394,546,2,2647
7,RxJava,MaybeFlatMapCompletableTest,0,0,0,0,0,0,0,18,82,15,22,1190,120,2,701
8,RxJava,FlowableSerializeTest,15,9,10,5,0,0,0,479,867,30,91,12024,1066,2,8064
9,RxJava,SubscribeWithTest,2,0,0,0,0,0,0,21,121,10,33,1152,107,2,796
10,RxJava,ListCompositeDisposableTest,29,0,2,11,0,0,0,478,828,15,54,9733,1226,2,5589
11,RxJava,SchedulerMultiWorkerSupportTest,6,0,1,4,0,0,0,146,301,24,59,6143,484,2,2200
12,RxJava,FlowableSwitchIfEmptyTest,7,2,0,0,0,0,0,194,506,29,87,7809,755,2,3908
13,RxJava,MaybeIsEmptySingleTest,1,0,0,0,0,0,0,7,23,12,10,223,29,2,156
14,RxJava,SingleDoAfterTerminateTest,1,0,1,0,0,0,0,66,208,17,50,2297,234,2,1842
15,RxJava,MaybeIgnoreElementTest,0,0,0,0,0,0,0,20,63,13,23,737,90,2,561
16,RxJava,SafeSubscriberTest,72,7,27,0,0,0,0,1372,2708,14,163,33122,3861,2,23199
17,RxJava,DisposeOnCancelTest,5,0,0,0,0,0,0,22,45,8,18,344,53,2,301
18,RxJava,TestResourceMaybeObserver,0,0,0,0,0,0,0,28,51,7,18,454,33,4,403
19,RxJava,BehaviorProcessorTest,71,4,5,14,0,0,0,1358,2649,19,191,28985,3650,4,17986
20,RxJava,QueueSubscriptionTest,1,0,0,0,0,0,0,34,105,8,29,1095,64,2,1133
21,RxJava,ArrayCompositeDisposableTest,13,0,0,3,0,0,0,133,248,15,31,2721,341,2,1601
22,RxJava,BlockingFlowableMostRecentTest,21,0,2,2,0,0,0,142,298,11,56,2715,376,2,1961
23,RxJava,HorrorMovie,0,0,0,0,0,0,0,0,2,3,2,8,0,3,36
24,RxJava,FlowableLiftTest,2,0,1,0,0,0,0,27,58,16,30,897,94,2,522
25,RxJava,TestDisposableObserver,0,0,0,0,0,0,0,16,48,7,18,451,23,4,396
26,RxJava,BadObservableSubscribe,0,0,1,0,0,0,0,12,30,9,19,315,27,4,355
27,RxJava,FlowableInternalHelperTest,0,0,0,0,0,0,0,6,19,9,9,149,18,2,224
28,RxJava,A,0,0,0,0,0,0,0,0,3,3,3,10,0,2,17
29,RxJava,B,0,0,0,0,0,0,0,0,2,3,2,5,0,2,15
30,RxJava,CoolRating,0,0,0,0,0,0,0,0,2,3,2,8,0,3,36
31,RxJava,ObservableDebounceTest,3,1,1,0,0,0,0,584,1469,20,139,18883,2097,2,10861
32,RxJava,CompositeExceptionTest,36,2,2,2,0,0,0,480,953,13,96,9543,1277,2,8797
33,RxJava,CompletionThread,0,3,1,1,0,0,0,47,74,14,22,862,85,3,828
34,RxJava,FlowableTakeTest,11,0,6,4,0,0,0,611,1431,20,168,17787,1992,2,10294
35,RxJava,CompletablePeekTest,0,0,1,0,0,0,0,23,51,17,28,612,68,2,484
36,RxJava,MaybeHideTest,2,0,0,0,0,0,0,35,129,12,36,1487,173,2,932
37,RxJava,MaybeSwitchIfEmptyTest,2,0,0,1,0,0,0,76,266,14,48,2832,336,2,1803
38,RxJava,FlowableMapNotificationTest,0,0,0,0,0,0,0,164,440,16,63,6181,673,2,3149
39,RxJava,ObservableDematerializeTest,0,0,1,0,0,0,0,217,544,19,66,5537,747,2,3854
40,RxJava,SingleTest,16,6,6,1,0,0,0,656,1530,23,173,22767,2312,2,11744
41,RxJava,LambdaSubscriberTest,28,0,2,0,0,0,0,341,907,16,84,13863,1505,2,7183
42,RxJava,TestASynchronous1sDelayedObservable,0,0,1,0,0,0,0,26,46,16,21,656,56,2,391
43,RxJava,FlowableSubscriberTest,30,1,8,0,0,0,0,710,1687,20,152,26876,2852,2,13572
44,RxJava,NewLinesBeforeAnnotation,0,10,1,7,0,0,0,212,341,27,62,6392,460,3,2285
45,RxJava,CachedThreadSchedulerTest,7,0,2,0,0,0,0,116,281,16,67,2882,354,3,2152
46,RxJava,Mutable,0,0,0,0,0,0,0,0,2,4,2,11,0,2,23
47,RxJava,DefaultSubscriberTest,1,0,0,0,0,0,0,22,65,8,26,614,51,2,513
48,RxJava,ObservableFinallyTest,0,0,1,0,0,0,0,26,68,10,29,609,69,2,597
49,RxJava,FlowableFromSourceTest,2,0,5,0,0,0,0,1095,1824,14,105,17399,2224,2,12613
50,RxJava,MaybeFlatMapObservableTest,10,0,0,0,0,0,0,68,162,15,38,1616,219,2,1194
51,RxJava,ObservableAmbTest,10,2,2,4,0,0,0,413,1094,21,148,12569,1494,2,8142
52,RxJava,CompletableAmbTest,20,2,3,3,0,0,0,314,631,16,86,6851,875,2,4828
53,RxJava,BadObservableConnect2,0,0,1,0,0,0,0,22,47,9,23,451,42,4,508
54,RxJava,FlowableFilterTest,2,0,5,0,0,0,0,574,1556,22,132,20968,2167,2,11227
55,RxJava,CompletableAwaitTest,9,2,2,0,0,0,0,65,149,13,31,1387,173,2,1212
56,RxJava,OnNextThread,0,2,0,1,0,0,0,51,121,11,20,1132,101,3,1124
57,RxJava,ObservableTakeTest,8,0,5,3,0,0,0,496,1168,19,148,13634,1585,2,8247
58,RxJava,ObservableSkipLastTimedTest,0,0,0,1,0,0,0,262,680,14,73,6670,865,2,4345
59,RxJava,TestASynchronous1sDelayedFlowable,0,0,1,0,0,0,0,26,45,16,20,656,56,2,399
60,RxJava,ObserverImpl,0,0,0,0,0,0,0,9,39,7,14,299,22,2,289
61,RxJava,FlowableWindowWithFlowableTest,27,12,7,18,0,0,0,1576,3623,32,171,60867,6058,2,28112
62,RxJava,TestASynchronousObservable,0,0,0,0,0,0,0,17,36,13,17,410,38,2,309
63,RxJava,TestDisposableSubscriber,0,0,0,0,0,0,0,16,49,7,19,457,24,4,395
64,RxJava,ObservableOnErrorResumeNextViaFunctionTest,4,4,4,1,0,0,0,385,950,20,94,13205,1418,2,7463
65,RxJava,TestLocalObserver,0,0,0,0,0,0,0,9,44,8,15,404,22,4,384
