project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,isAssertionRoulette,isEagerTest,isLazyTest,isMysteryGuest,isSensitiveEquality,isResourceOptimism,isForTestersOnly,isIndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WMC_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,BUSWEIMER_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WMC_test,NOA_test,NOPA_test,NOP_test,McCABE_test,BUSWEIMER_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/EnumerationUtilsTest.java,org.apache.commons.collections4.EnumerationUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/EnumerationUtils.java,org.apache.commons.collections4.EnumerationUtils,0.861111111,36,0.928571429,1,1,0,0,0,0,0,0,95,987.3494863,12,5,8,8,0,0,6,6,0,1,-0.666666667,0,0,0,0,1,4,0,0,0,14,0,110,511.5221791,26,10,23,23,1,1,3,3,0,0,-2,2,0.333333333,0,2,0,3,1,1,0,6,0,0,0,0,0,0,0,0,0,0.770905957,0.303962956
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/SplitMapUtilsTest.java,org.apache.commons.collections4.SplitMapUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/SplitMapUtils.java,org.apache.commons.collections4.SplitMapUtils,0.714285714,28,0.666666667,1,0,0,0,0,0,0,0,271,1557.235148,4,8,1,1,0,0,3,3,0,0,-2,0,0,0,0,0,3,0,0,0,9,0,240,1005.739748,87,12,66,11,3,3,207,204,3,19,-0.005263158,9,0.095238095,0,1,0.833333333,21,3,0,3,30,0,0,0,0,0,0,0,0,0,0.849132036,0.805300157
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/ClosureUtilsTest.java,org.apache.commons.collections4.ClosureUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/ClosureUtils.java,org.apache.commons.collections4.ClosureUtils,0.972972973,74,0.965517241,1,1,0,0,1,0,0,0,375,2884.888269,41,12,24,1,0,0,136,136,0,8,-0.066666667,0,0,0,0,0.75,17,0,0,0,65,0,425,1551.770452,77,12,65,65,1,1,66,66,0,0,-0.2,11,0.083333333,0,10,0,12,1,0,1,24,0,0,0,0,0,0,1,0,0,0.654370202,0.447056205
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/QueueUtilsTest.java,org.apache.commons.collections4.QueueUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/QueueUtils.java,org.apache.commons.collections4.QueueUtils,1,15,0.857142857,0,0,0,0,0,0,0,0,139,1288.508033,10,6,4,0,1,1,15,15,0,0,-0.5,5,0.166666667,0,0,0.666666667,6,1,1,0,22,0,120,490.9780104,23,11,18,18,2,2,10,10,0,0,-0.666666667,4,0.2,0,4,0,5,2,0,0,17,0,0,0,0,0,0,0,0,0,0.721789762,0.629856694
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/MapUtilsTest.java,org.apache.commons.collections4.MapUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/MapUtils.java,org.apache.commons.collections4.MapUtils,0.835164835,728,0.928338762,1,1,0,0,1,0,0,0,1805,10631.54644,213,30,139,0,2,2,2701,2701,0,36,-0.014079148,74,0.006756757,0,2,0.382550336,74,2,1,1,276,0,1168,4771.898087,326,31,266,266,0,0,1770,1770,0,3,-0.032729398,0,0,0,35,0,60,0,0,0,93,0,0,1,0,1,1,1,0,1,0.709264612,0.584999856
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/PredicateUtilsTest.java,org.apache.commons.collections4.PredicateUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/PredicateUtils.java,org.apache.commons.collections4.PredicateUtils,0.823529412,102,0.78125,1,1,0,0,0,0,0,0,539,2962.018633,61,23,31,1,0,0,435,435,0,10,-0.04679803,0,0,0,0,1.125,30,0,0,0,112,0,722,2313.717944,251,18,186,186,0,0,2080,2080,0,0,-0.031746032,0,0,0,15,0,65,0,0,0,74,0,0,0,0,0,0,1,0,0,0.758233416,0.511847309
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/SetUtilsTest.java,org.apache.commons.collections4.SetUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/SetUtils.java,org.apache.commons.collections4.SetUtils,0.627737226,137,0.734693878,1,1,0,0,0,0,0,1,644,4525.041384,91,20,54,2,1,1,666,666,0,45,0.014285714,36,0.027027027,1,2,1.24,37,1,1,0,131,0,257,1088.738323,65,13,54,54,2,1,45,35,10,10,0,6,0.454545455,0,4,0,11,2,0,2,22,0,0,0,0,1,0,1,0,0,0.782087029,0.597136581
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/FactoryUtilsTest.java,org.apache.commons.collections4.FactoryUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/FactoryUtils.java,org.apache.commons.collections4.FactoryUtils,1,18,0.857142857,1,1,0,0,0,0,0,0,150,1321.302362,13,4,6,0,0,0,21,21,0,2,-0.266666667,0,0,0,0,0.666666667,7,0,0,0,21,0,275,1175.311016,77,13,61,61,0,0,120,120,0,0,-0.142857143,0,0,0,8,0,16,0,0,0,26,0,0,0,0,0,0,0,0,0,0.748377042,0.751691635
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/ListUtilsTest.java,org.apache.commons.collections4.ListUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/ListUtils.java,org.apache.commons.collections4.ListUtils,0.720930233,258,0.88,1,1,0,0,0,0,0,0,699,6810.243464,72,17,48,2,0,0,276,276,0,4,-0.075098814,0,0,0,1,0.571428571,24,0,0,0,108,0,478,2374.332122,138,11,112,112,10,5,269,213,56,56,0.103333333,2,0.146153846,2,10,0,26,10,0,10,45,0,0,0,0,1,0,1,0,0,0.713397495,0.598435179
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/BagUtilsTest.java,org.apache.commons.collections4.BagUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/BagUtils.java,org.apache.commons.collections4.BagUtils,0.771428571,35,0.733333333,0,0,0,0,0,0,0,0,261,1718.043359,21,11,9,0,2,1,66,66,0,0,-0.2,11,0.083333333,0,0,0.692307692,12,2,2,0,47,0,176,661.0803157,34,13,26,26,2,2,26,24,2,2,-0.238095238,6,0.25,0,6,0,8,2,0,0,26,0,0,0,0,0,0,1,0,0,0.701529178,0.631885909
