CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
0,1,1,0,0,0,0,0,0,0,1081,0
1,2,5,0,0,0,0,0,0,0,1081,0
14,3,8,1,1,1,1,1,0,0,1080,1
1310,4,8,90,121,121,91,79,11,0,990,122
3906,5,8,72,223,224,163,86,75,0,918,345
5476,6,13,48,139,198,211,126,82,0,870,484
5786,7,15,1,40,83,212,127,82,0,869,524
12556,8,26,70,335,434,282,145,128,0,799,859
19131,9,38,140,257,369,422,253,150,0,659,1116
22002,10,53,66,201,441,488,312,157,0,593,1317
28273,11,94,99,246,629,587,373,194,0,494,1563
31146,12,131,101,234,324,688,450,218,0,393,1797
44393,13,383,0,34,304,688,450,218,0,393,1831
621356,14,4915,148,231,675,836,562,253,0,245,2062
