project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/TestMinutes.java,org.joda.time.TestMinutes,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/Minutes.java,org.joda.time.Minutes,0.9523809523809523,63.0,1.0
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/TestMonths.java,org.joda.time.TestMonths,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/Months.java,org.joda.time.Months,0.9516129032258065,62.0,1.0
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/TestDateTimeComparator.java,org.joda.time.TestDateTimeComparator,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/DateTimeComparator.java,org.joda.time.DateTimeComparator,0.9375,48.0,1.0
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/TestAbstractPartial.java,org.joda.time.TestAbstractPartial,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/base/AbstractPartial.java,org.joda.time.base.AbstractPartial,0.09523809523809523,84.0,0.15
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/TestDurationField.java,org.joda.time.TestDurationField,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/DurationField.java,org.joda.time.DurationField,1.0,7.0,1.0
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/TestBaseSingleFieldPeriod.java,org.joda.time.TestBaseSingleFieldPeriod,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/base/BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,0.9454545454545454,55.0,0.9857142857142858
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/TestPeriodType.java,org.joda.time.TestPeriodType,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/PeriodType.java,org.joda.time.PeriodType,0.9298245614035088,114.0,0.9435483870967742
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/TestYears.java,org.joda.time.TestYears,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/Years.java,org.joda.time.Years,0.9433962264150944,53.0,1.0
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/TestDateTimeUtils.java,org.joda.time.TestDateTimeUtils,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/DateTimeUtils.java,org.joda.time.DateTimeUtils,0.7222222222222222,72.0,0.6972477064220184
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/TestDays.java,org.joda.time.TestDays,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/Days.java,org.joda.time.Days,0.9538461538461539,65.0,1.0
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/TestDateTimeFieldType.java,org.joda.time.TestDateTimeFieldType,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/DateTimeFieldType.java,org.joda.time.DateTimeFieldType,0.9615384615384616,26.0,0.9868421052631579
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/TestDateTimeZone.java,org.joda.time.TestDateTimeZone,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/DateTimeZone.java,org.joda.time.DateTimeZone,0.7298387096774194,248.0,0.7801857585139319
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/TestBasePartial.java,org.joda.time.TestBasePartial,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/base/BasePartial.java,org.joda.time.base.BasePartial,0.23076923076923078,13.0,0.2727272727272727
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/TestSeconds.java,org.joda.time.TestSeconds,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/Seconds.java,org.joda.time.Seconds,0.953125,64.0,1.0
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/TestIllegalFieldValueException.java,org.joda.time.TestIllegalFieldValueException,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/IllegalFieldValueException.java,org.joda.time.IllegalFieldValueException,0.47368421052631576,19.0,0.9459459459459459
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/TestWeeks.java,org.joda.time.TestWeeks,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/Weeks.java,org.joda.time.Weeks,0.95,60.0,1.0
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/TestHours.java,org.joda.time.TestHours,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/Hours.java,org.joda.time.Hours,0.9552238805970149,67.0,1.0
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/TestDurationFieldType.java,org.joda.time.TestDurationFieldType,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/DurationFieldType.java,org.joda.time.DurationFieldType,0.9333333333333333,15.0,0.9666666666666667
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/tz/TestCachedDateTimeZone.java,org.joda.time.tz.TestCachedDateTimeZone,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/tz/CachedDateTimeZone.java,org.joda.time.tz.CachedDateTimeZone,0.06896551724137931,29.0,0.2777777777777778
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/tz/TestZoneInfoCompiler.java,org.joda.time.tz.TestZoneInfoCompiler,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/tz/ZoneInfoCompiler.java,org.joda.time.tz.ZoneInfoCompiler,0.08670520231213873,173.0,0.18115942028985507
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/tz/TestUTCProvider.java,org.joda.time.tz.TestUTCProvider,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/tz/UTCProvider.java,org.joda.time.tz.UTCProvider,1.0,4.0,1.0
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/tz/TestFixedDateTimeZone.java,org.joda.time.tz.TestFixedDateTimeZone,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/tz/FixedDateTimeZone.java,org.joda.time.tz.FixedDateTimeZone,0.4,25.0,0.6666666666666666
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/chrono/TestCopticChronology.java,org.joda.time.chrono.TestCopticChronology,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/chrono/CopticChronology.java,org.joda.time.chrono.CopticChronology,0.7857142857142857,42.0,0.6521739130434783
joda-time,,6153fe96feedbae42284798904389dd3e41788f9,/home/dorma10/mutation-analysis/projects/joda-time/src/test/java/org/joda/time/chrono/TestBuddhistChronology.java,org.joda.time.chrono.TestBuddhistChronology,/home/dorma10/mutation-analysis/projects/joda-time/src/main/java/org/joda/time/chrono/BuddhistChronology.java,org.joda.time.chrono.BuddhistChronology,0.5,24.0,0.7833333333333333
