project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/BasicParserTest.java,org.apache.commons.cli.BasicParserTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/BasicParser.java,org.apache.commons.cli.BasicParser,1.0,1.0,1.0
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/PatternOptionBuilderTest.java,org.apache.commons.cli.PatternOptionBuilderTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/PatternOptionBuilder.java,org.apache.commons.cli.PatternOptionBuilder,0.967741935483871,31.0,0.9607843137254902
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/OptionsTest.java,org.apache.commons.cli.OptionsTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/Options.java,org.apache.commons.cli.Options,0.5,30.0,0.7619047619047619
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/OptionTest.java,org.apache.commons.cli.OptionTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/Option.java,org.apache.commons.cli.Option,0.5268817204301075,93.0,0.5846153846153846
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/CommandLineTest.java,org.apache.commons.cli.CommandLineTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/CommandLine.java,org.apache.commons.cli.CommandLine,0.5833333333333334,36.0,0.7288135593220338
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/OptionGroupTest.java,org.apache.commons.cli.OptionGroupTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/OptionGroup.java,org.apache.commons.cli.OptionGroup,0.9230769230769231,13.0,0.9428571428571428
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/GnuParserTest.java,org.apache.commons.cli.GnuParserTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/GnuParser.java,org.apache.commons.cli.GnuParser,1.0,17.0,1.0
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/DefaultParserTest.java,org.apache.commons.cli.DefaultParserTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/DefaultParser.java,org.apache.commons.cli.DefaultParser,0.9161290322580645,155.0,0.9844559585492227
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/OptionBuilderTest.java,org.apache.commons.cli.OptionBuilderTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/OptionBuilder.java,org.apache.commons.cli.OptionBuilder,0.3,30.0,0.6818181818181818
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/UtilTest.java,org.apache.commons.cli.UtilTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/Util.java,org.apache.commons.cli.Util,0.9333333333333333,15.0,0.8333333333333334
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/PosixParserTest.java,org.apache.commons.cli.PosixParserTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/PosixParser.java,org.apache.commons.cli.PosixParser,0.9761904761904762,42.0,1.0
commons-cli,,f7153c3c10cc8060d3858a6a90d7ddccd0b3533e,/home/dorma10/mutation-analysis/projects/commons-cli/src/test/java/org/apache/commons/cli/HelpFormatterTest.java,org.apache.commons.cli.HelpFormatterTest,/home/dorma10/mutation-analysis/projects/commons-cli/src/main/java/org/apache/commons/cli/HelpFormatter.java,org.apache.commons.cli.HelpFormatter,0.8345864661654135,133.0,0.9386792452830188
