project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage
commons-codec,,af7b94750e2178b8437d9812b28e36ac87a455f2,/home/dorma10/mutation-analysis/projects/commons-codec/src/test/java/org/apache/commons/codec/CharsetsTest.java,org.apache.commons.codec.CharsetsTest,/home/dorma10/mutation-analysis/projects/commons-codec/src/main/java/org/apache/commons/codec/Charsets.java,org.apache.commons.codec.Charsets,1.0,4.0,0.8888888888888888
commons-codec,,af7b94750e2178b8437d9812b28e36ac87a455f2,/home/dorma10/mutation-analysis/projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderComparatorTest.java,org.apache.commons.codec.StringEncoderComparatorTest,/home/dorma10/mutation-analysis/projects/commons-codec/src/main/java/org/apache/commons/codec/StringEncoderComparator.java,org.apache.commons.codec.StringEncoderComparator,1.0,1.0,0.7857142857142857
commons-codec,,af7b94750e2178b8437d9812b28e36ac87a455f2,/home/dorma10/mutation-analysis/projects/commons-codec/src/test/java/org/apache/commons/codec/net/QCodecTest.java,org.apache.commons.codec.net.QCodecTest,/home/dorma10/mutation-analysis/projects/commons-codec/src/main/java/org/apache/commons/codec/net/QCodec.java,org.apache.commons.codec.net.QCodec,0.8780487804878049,41.0,0.9326923076923077
commons-codec,,af7b94750e2178b8437d9812b28e36ac87a455f2,/home/dorma10/mutation-analysis/projects/commons-codec/src/test/java/org/apache/commons/codec/net/URLCodecTest.java,org.apache.commons.codec.net.URLCodecTest,/home/dorma10/mutation-analysis/projects/commons-codec/src/main/java/org/apache/commons/codec/net/URLCodec.java,org.apache.commons.codec.net.URLCodec,0.9649122807017544,57.0,0.9886363636363636
commons-codec,,af7b94750e2178b8437d9812b28e36ac87a455f2,/home/dorma10/mutation-analysis/projects/commons-codec/src/test/java/org/apache/commons/codec/net/UtilsTest.java,org.apache.commons.codec.net.UtilsTest,/home/dorma10/mutation-analysis/projects/commons-codec/src/main/java/org/apache/commons/codec/net/Utils.java,org.apache.commons.codec.net.Utils,0.0,4.0,0.16666666666666666
commons-codec,,af7b94750e2178b8437d9812b28e36ac87a455f2,/home/dorma10/mutation-analysis/projects/commons-codec/src/test/java/org/apache/commons/codec/net/RFC1522CodecTest.java,org.apache.commons.codec.net.RFC1522CodecTest,/home/dorma10/mutation-analysis/projects/commons-codec/src/main/java/org/apache/commons/codec/net/RFC1522Codec.java,org.apache.commons.codec.net.RFC1522Codec,0.5,18.0,0.55
commons-codec,,af7b94750e2178b8437d9812b28e36ac87a455f2,/home/dorma10/mutation-analysis/projects/commons-codec/src/test/java/org/apache/commons/codec/net/QuotedPrintableCodecTest.java,org.apache.commons.codec.net.QuotedPrintableCodecTest,/home/dorma10/mutation-analysis/projects/commons-codec/src/main/java/org/apache/commons/codec/net/QuotedPrintableCodec.java,org.apache.commons.codec.net.QuotedPrintableCodec,0.9433962264150944,106.0,0.967479674796748
commons-codec,,af7b94750e2178b8437d9812b28e36ac87a455f2,/home/dorma10/mutation-analysis/projects/commons-codec/src/test/java/org/apache/commons/codec/net/PercentCodecTest.java,org.apache.commons.codec.net.PercentCodecTest,/home/dorma10/mutation-analysis/projects/commons-codec/src/main/java/org/apache/commons/codec/net/PercentCodec.java,org.apache.commons.codec.net.PercentCodec,0.9027777777777778,72.0,1.0
commons-codec,,af7b94750e2178b8437d9812b28e36ac87a455f2,/home/dorma10/mutation-analysis/projects/commons-codec/src/test/java/org/apache/commons/codec/net/BCodecTest.java,org.apache.commons.codec.net.BCodecTest,/home/dorma10/mutation-analysis/projects/commons-codec/src/main/java/org/apache/commons/codec/net/BCodec.java,org.apache.commons.codec.net.BCodec,0.8620689655172413,29.0,0.8863636363636364
commons-codec,,af7b94750e2178b8437d9812b28e36ac87a455f2,/home/dorma10/mutation-analysis/projects/commons-codec/src/test/java/org/apache/commons/codec/language/DaitchMokotoffSoundexTest.java,org.apache.commons.codec.language.DaitchMokotoffSoundexTest,/home/dorma10/mutation-analysis/projects/commons-codec/src/main/java/org/apache/commons/codec/language/DaitchMokotoffSoundex.java,org.apache.commons.codec.language.DaitchMokotoffSoundex,0.7608695652173914,46.0,0.946969696969697
