Nº,Project,TestClassName,No. Methods,Vocabulary,Word,Strings,Numeric Literals,Comments,Special,Non Whithe Characters,No. Method Invoctions,No. Field Access,No. Primitives,AST size,Max Depth,Avg Depth,Avg Depth Squared,Avg Depth Triple,Deg2,Deg3,DegPerm,Dexterity,No. Expressions,No. Try,No. Catch,No. Loop,No. Break,No. Continue,No. Conditions,No. Else,No. &&,No. ||,No. Ternary,Bad API,Junit,Hamcrest,Mockito
1,RxJava,ConvertToCylonDetector,1,9,17,0,0,0,24,231,1,0,0,6,6,13.833333333333334,37.166666666666664,130.83333333333334,128,558,1500,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,RxJava,AllSubscriber,6,35,85,0,1,0,157,984,13,3,8,131,9,3.7786259541984735,12.236641221374045,55.58015267175573,820,6054,2004192120,30,126,1,1,0,0,0,5,0,0,0,0,0,0,0,0
3,RxJava,ObservableConcatWithMaybeTest,15,53,240,0,37,0,480,2647,78,0,15,546,19,2.989010989010989,18.021978021978022,177.6153846153846,1908,8894,40055269,21,389,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,RxJava,MergeSubscriber,19,131,759,129,55,0,1768,8021,118,13,53,1762,22,2.9404086265607265,13.445516458569807,107.71906923950057,7546,125790,-284109171,48,1240,3,3,12,9,2,85,14,15,7,0,0,0,0,0
5,RxJava,ConcatWithCompletableTckTest,1,13,15,0,1,0,25,206,3,0,2,14,8,5.5,19.5,102.35714285714286,114,480,908,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,RxJava,ObservableTimer,7,35,82,0,2,0,124,1038,10,4,8,99,10,4.6767676767676765,15.505050505050505,74.31313131313131,798,5104,1935684807,26,118,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,RxJava,MapNotificationObserver,7,35,148,128,0,0,255,1900,21,6,6,202,11,4.623762376237623,18.18811881188119,100.23762376237623,1257,9789,109645691,26,200,3,3,0,0,0,1,0,0,0,0,0,0,0,0
8,RxJava,FlowableSerializeTest,21,91,538,858,19,212,1125,8064,122,8,32,1066,30,3.323639774859287,20.306754221388367,279.4024390243902,4413,24711,-38085165,43,867,10,9,5,0,0,9,3,0,0,0,0,1,0,0
9,RxJava,InnerSubscription,7,39,82,11,1,870,238,1893,11,3,11,94,11,5.159574468085107,17.9468085106383,94.84042553191489,1119,14397,862456974,32,121,0,0,0,0,0,3,0,0,0,0,0,0,0,0
10,RxJava,SchedulerMultiWorkerSupportTest,11,59,211,0,7,0,365,2200,40,0,17,484,24,3.0144628099173554,21.361570247933884,276.2995867768595,1456,5830,386422,26,301,1,0,4,0,0,0,0,0,0,0,0,1,0,0
11,RxJava,FlowableSwitchIfEmptyTest,23,87,317,0,41,0,623,3908,92,0,24,755,29,3.109933774834437,25.154966887417217,388.95364238410593,2552,11330,43599919,26,506,0,0,0,0,0,2,0,2,0,0,0,1,0,0
