Nº,Project,TestClassName,No. Methods,Vocabulary,Word,Special,Non Whithe Characters,No. Method Invoctions,AST size,Max Depth,Avg Depth,Deg2,DegPerm,Dexterity,No. Expressions,No. Try,No. Catch,No. Loop,No. Break,No. Continue,No. Conditions,No. Else,Bad API,Junit,Hamcrest,Mockito
1,RxJava,ConvertToCylonDetector,1,9,17,24,231,1,6,6,13.833333333333334,128,1500,12,19,0,0,0,0,0,0,0,0,0,0,0
2,RxJava,AllSubscriber,6,35,85,157,984,13,131,9,3.7786259541984735,820,2004192120,30,126,1,1,0,0,0,5,0,0,0,0,0
3,RxJava,ObservableConcatWithMaybeTest,15,53,240,480,2647,78,546,19,2.989010989010989,1908,40055269,21,389,0,0,0,0,0,0,0,0,1,0,0
4,RxJava,MergeSubscriber,19,131,759,1768,8021,118,1762,22,2.9404086265607265,7546,-284109171,48,1240,3,3,12,9,2,85,14,0,0,0,0
5,RxJava,ConcatWithCompletableTckTest,1,13,15,25,206,3,14,8,5.5,114,908,14,22,0,0,0,0,0,0,0,0,0,0,0
6,RxJava,ObservableTimer,7,35,82,124,1038,10,99,10,4.6767676767676765,798,1935684807,26,118,0,0,0,0,0,1,0,0,0,0,0
7,RxJava,MapNotificationObserver,7,35,148,255,1900,21,202,11,4.623762376237623,1257,109645691,26,200,3,3,0,0,0,1,0,0,0,0,0
8,RxJava,FlowableSerializeTest,21,91,538,1125,8064,122,1066,30,3.323639774859287,4413,-38085165,43,867,10,9,5,0,0,9,3,0,1,0,0
9,RxJava,InnerSubscription,7,39,82,238,1893,11,94,11,5.159574468085107,1119,862456974,32,121,0,0,0,0,0,3,0,0,0,0,0
10,RxJava,SchedulerMultiWorkerSupportTest,11,59,211,365,2200,40,484,24,3.0144628099173554,1456,386422,26,301,1,0,4,0,0,0,0,0,1,0,0
11,RxJava,FlowableSwitchIfEmptyTest,23,87,317,623,3908,92,755,29,3.109933774834437,2552,43599919,26,506,0,0,0,0,0,2,0,0,1,0,0
12,RxJava,FlowableThrottleFirstTimed,10,58,172,289,2025,23,243,13,3.9958847736625516,1917,2116108892,31,258,0,0,0,0,0,8,1,0,0,0,0
13,RxJava,BiConsumerSingleObserver,6,29,73,118,935,11,94,11,4.4361702127659575,700,2004312880,27,102,2,2,0,0,0,0,0,0,0,0,0
14,RxJava,MaybeIsEmptySingleTest,1,10,14,33,156,4,29,12,4,91,180,17,23,0,0,0,0,0,0,0,0,1,0,0
15,RxJava,FlowableCombineLatest,27,132,687,1363,7795,87,1337,16,3.237097980553478,6846,-744745614,50,1045,4,4,7,4,0,37,12,0,0,0,0
16,RxJava,SampleTimedSubscriber,10,51,122,208,1493,21,161,12,4.198757763975156,1477,-1853877122,28,181,0,0,0,0,0,4,1,0,0,0,0
17,RxJava,MaybeIgnoreElementTest,4,23,46,85,561,12,90,13,3.1777777777777776,302,5669,17,63,0,0,0,0,0,0,0,0,0,0,0
18,RxJava,ScalarSubscription,10,36,85,220,1461,11,107,10,5.05607476635514,1236,862463112,32,128,0,0,0,0,0,4,0,0,0,0,0
19,RxJava,SafeSubscriberTest,96,163,1708,3489,23199,398,3861,14,2.6555296555296555,17031,128024771,42,2708,27,13,0,0,0,7,0,0,1,0,0
20,RxJava,DisposeOnCancelTest,1,18,29,48,301,11,53,8,2.5660377358490565,189,5870,16,45,0,0,0,0,0,0,0,0,1,0,0
21,RxJava,ObservableCombineLatest,18,92,434,861,4966,46,833,16,3.480192076830732,4410,-1524204567,44,660,1,1,6,2,0,25,3,0,0,0,0
22,RxJava,TakeUntilMainSubscriber,11,35,134,198,1792,16,155,9,4.225806451612903,1494,-1194742684,23,193,0,0,0,0,0,0,0,0,0,0,0
23,RxJava,QueueSubscriptionTest,15,29,66,131,1133,6,64,8,6.28125,958,79853156,23,105,0,0,0,0,0,0,0,0,1,0,0
24,RxJava,CompletableFromSingleObserver,4,15,31,41,340,3,24,7,6.333333333333333,296,3631061,18,40,0,0,0,0,0,0,0,0,0,0,0
25,RxJava,CompletableToSingle,6,28,84,134,1096,8,107,12,4.831775700934579,707,39960478,28,117,1,1,0,0,0,2,2,0,0,0,0
26,RxJava,FlowableOnBackpressureBufferStrategy,11,75,281,539,3275,42,526,15,3.2186311787072244,2887,-1051856149,42,410,1,1,2,5,0,22,3,0,0,0,0
27,RxJava,MaybeDetach,9,28,106,184,1318,8,155,10,3.9548387096774196,933,2004676556,30,153,0,0,0,0,0,4,0,0,0,0,0
28,RxJava,FlatMapWithCombinerOuter,2,19,61,97,696,2,61,9,5.967213114754099,487,39922225,24,76,0,0,0,0,0,0,0,0,0,0,0
29,RxJava,WindowBoundaryMainObserver,13,88,339,654,3467,58,653,18,3.1546707503828486,3041,-762491283,40,487,1,1,6,2,4,24,2,0,0,0,0
30,RxJava,FlowableLiftTest,2,30,39,79,522,10,94,16,3.24468085106383,258,5429,24,58,1,1,0,0,0,0,0,0,1,0,0
31,RxJava,SubscriptionLambdaSubscriber,7,35,123,193,1368,18,176,10,3.7329545454545454,1062,-898428563,25,173,3,3,0,0,0,3,1,0,0,0,0
32,RxJava,FutureObserver,12,47,162,377,2219,30,306,12,3.473856209150327,1700,-772307997,35,260,0,0,3,0,0,17,1,0,0,0,0
33,RxJava,TestDisposableObserver,4,18,37,62,396,2,23,7,9.304347826086957,407,1932055315,18,48,0,0,0,0,0,0,0,0,0,0,0
34,RxJava,MulticastProcessor,26,131,706,2095,13657,85,1281,22,3.1647150663544106,6614,-1764158182,54,1059,1,1,12,9,2,54,8,0,0,0,0
35,RxJava,AsyncProcessorAsPublisherTckTest,4,28,45,101,619,9,96,16,3.4583333333333335,354,6230,28,70,1,1,2,0,0,1,0,0,0,0,0
36,RxJava,ObservableAll,9,35,121,210,1355,16,162,10,4.339506172839506,1130,-288155424,28,170,1,1,0,0,0,5,0,0,0,0,0
37,RxJava,MergerBiFunction,2,25,108,207,831,23,187,12,3.1390374331550803,718,4032454,31,159,0,0,3,0,0,3,2,0,0,0,0
38,RxJava,BadObservableSubscribe,2,19,23,42,355,3,27,9,5.777777777777778,185,2241,18,30,1,1,0,0,0,0,0,0,0,0,0
39,RxJava,SingleNever,2,11,17,27,250,1,9,7,11.222222222222221,164,5942,17,21,0,0,0,0,0,0,0,0,0,0,0
40,RxJava,CompletableConcat,17,84,271,504,3531,41,487,15,3.431211498973306,2872,1449574642,38,425,1,1,1,1,0,18,4,0,0,0,0
41,RxJava,A,0,3,3,5,17,0,0,3,0,11,11,3,3,0,0,0,0,0,0,0,0,0,0,0
42,RxJava,B,0,2,2,4,15,0,0,3,0,5,5,3,2,0,0,0,0,0,0,0,0,0,0,0
43,RxJava,ObservableIgnoreElements,9,24,67,107,795,6,56,9,6.767857142857143,721,2004353826,22,88,0,0,0,0,0,0,0,0,0,0,0
44,RxJava,CompositeExceptionTest,29,96,592,1632,8797,166,1277,13,2.7290524667188722,5097,1148447087,41,953,2,2,2,0,0,2,2,0,1,0,0
45,RxJava,CompletionThread,2,22,48,111,828,4,85,14,4.329411764705882,408,3629312,33,74,1,1,1,0,0,3,2,0,0,0,0
46,RxJava,TimeIntervalTckTest,1,12,15,26,191,2,11,8,7.909090909090909,115,908,14,21,0,0,0,0,0,0,0,0,0,0,0
47,RxJava,CompletableHide,8,24,63,100,978,7,71,10,4.929577464788732,645,1932419158,23,91,0,0,0,0,0,1,0,0,0,0,0
48,RxJava,SimpleQueue,5,13,28,136,1298,0,0,5,0,202,363214,14,32,0,0,0,0,0,0,0,0,0,0,0
49,RxJava,FlowableDoOnEach,15,51,438,755,4772,65,754,18,3.557029177718833,3342,1645657175,32,591,21,19,0,0,0,16,3,0,1,0,0
50,RxJava,CompletablePeekTest,3,28,33,71,484,10,68,17,4.014705882352941,230,1211,20,51,1,0,0,0,0,0,0,0,0,0,0
51,RxJava,Notification,12,31,143,407,3101,12,201,11,3.746268656716418,1409,110738256,38,209,0,0,0,0,0,5,0,0,0,0,0
52,RxJava,FlowableProcessor,5,15,28,157,1722,0,17,8,8.647058823529411,405,1932094993,19,36,0,0,0,0,0,1,0,0,0,0,0
53,RxJava,ObservableMergeWithCompletable,15,44,169,278,2480,18,195,10,4.553846153846154,1933,-732392389,31,235,0,0,0,0,0,2,0,0,0,0,0
54,RxJava,ObservableAmb,13,62,282,565,3137,32,523,18,3.7648183556405352,2453,1683464207,42,436,1,1,5,0,0,16,7,0,0,0,0
55,RxJava,ObservableDetach,9,29,104,176,1329,11,146,10,3.952054794520548,930,2004676593,28,155,0,0,0,0,0,1,0,0,0,0,0
56,RxJava,FutureSubscriber,12,49,160,365,2213,28,295,12,3.4677966101694917,1704,-772307301,35,255,0,0,3,0,0,16,0,0,0,0,0
57,RxJava,ToMultimapTckTest,2,17,24,44,316,4,19,9,7.368421052631579,196,1675,13,34,0,0,0,0,0,0,0,0,0,0,0
58,RxJava,SafeSubscriber,9,34,274,561,3584,53,567,16,3.0617283950617282,1949,109646417,33,386,16,16,0,0,0,9,0,0,0,0,0
59,RxJava,CompletableMergeIterable,6,44,141,256,1869,28,255,12,3.145098039215686,1203,1935766134,31,203,3,3,1,1,0,7,1,0,0,0,0
60,RxJava,FlowableMapNotificationTest,18,63,284,545,3149,66,673,16,2.552748885586924,2409,1643596271,27,440,0,0,0,0,0,0,0,0,0,0,0
61,RxJava,ObservableDematerializeTest,12,66,352,637,3854,129,747,19,2.5113788487282465,2359,479545625,23,544,1,0,0,0,0,0,0,0,0,0,0
62,RxJava,FlowableFlatMapCompletable,20,81,267,481,3544,41,383,15,4.0835509138381205,2961,-722571367,36,397,1,1,0,0,0,11,6,0,0,0,0
63,RxJava,FlowableBufferBoundary,28,116,589,1058,6676,86,953,16,3.5666316894018886,6162,-1180525413,39,853,1,1,4,2,0,25,3,0,0,0,0
64,RxJava,FlowableConcatMapEager,15,99,438,854,4945,77,822,20,3.3053527980535278,4387,1972443516,41,669,2,2,3,3,1,32,4,0,0,0,0
65,RxJava,FlowableFlatMap,30,152,968,2103,10413,134,2034,23,3.1386430678466075,9853,-19537966,49,1537,3,3,12,9,2,93,16,0,0,0,0
66,RxJava,TestException,4,7,23,79,710,0,12,5,8.666666666666666,263,3629964,16,25,0,0,0,0,0,0,0,0,0,0,0
67,RxJava,Array9Func,2,22,73,122,461,1,82,10,4.329268292682927,926,-168731291,30,114,0,0,0,0,0,1,0,0,0,0,0
68,RxJava,BufferBoundarySubscriber,19,109,431,805,4791,70,775,15,3.247741935483871,4602,2008555127,38,637,1,1,4,2,0,22,2,0,0,0,0
69,RxJava,CompletableSubject,16,60,252,887,6260,32,428,13,3.3434579439252334,2394,2080237473,42,388,0,0,5,1,0,15,4,0,0,0,0
70,RxJava,LambdaSubscriberTest,42,84,624,1144,7183,126,1505,16,2.527574750830565,4869,483183922,24,907,2,0,0,0,0,0,0,0,1,0,0
71,RxJava,FlowableSubscriberTest,112,152,1119,2176,13572,207,2852,20,2.726507713884993,10179,739199203,36,1687,8,2,0,0,0,1,0,0,1,0,0
72,RxJava,NewLinesBeforeAnnotation,6,62,192,538,2285,55,460,27,2.9043478260869566,1504,1279313521,39,341,1,0,7,3,0,10,1,0,0,0,0
73,RxJava,DelayWithMainObserver,5,18,47,66,547,4,37,7,6.5675675675675675,441,479004077,19,61,0,0,0,0,0,0,0,0,0,0,0
74,RxJava,CompletableSubscribeOn,9,36,93,127,1293,11,108,9,4.425925925925926,1014,-898066857,22,133,0,0,0,0,0,0,0,0,0,0,0
75,RxJava,CompletableFromSingle,6,22,52,70,635,4,43,9,6.558139534883721,499,3994761,19,67,0,0,0,0,0,0,0,0,0,0,0
76,RxJava,ObservableConcatMapCompletablePerf,7,48,119,198,1459,12,176,14,3.9431818181818183,1037,2004212796,30,172,0,0,0,0,0,0,0,0,0,0,0
77,RxJava,MaybeCount,10,31,94,151,1242,8,99,10,5.262626262626263,908,1757950599,27,133,0,0,0,0,0,1,0,0,0,0,0
78,RxJava,ObservableBuffer,17,61,310,527,3298,43,454,13,3.9162995594713657,3036,1599406138,34,447,2,2,2,0,0,11,2,0,0,0,0
79,RxJava,BufferedReplayCallable,2,10,25,36,329,1,19,7,7.421052631578948,228,363155,19,33,0,0,0,0,0,0,0,0,0,0,0
80,RxJava,CombineLatestIterableDelayErrorTckTest,2,21,31,55,381,5,52,13,3.7115384615384617,245,10347,21,46,0,0,0,0,0,0,0,0,0,0,0
81,RxJava,TimerTckTest,2,14,16,27,240,2,14,8,6.428571428571429,149,1633,14,24,0,0,0,0,0,0,0,0,0,0,0
82,RxJava,FlowableFlatMapSingle,20,100,490,987,5582,94,920,16,3.2206521739130434,4597,1975982920,43,740,1,1,3,2,0,35,9,0,0,0,0
83,RxJava,Completable,107,266,2285,12574,100074,242,1823,12,4.591881513987932,29454,-1670235881,41,3143,2,3,0,0,0,12,2,0,0,0,0
84,RxJava,WindowBoundaryInnerSubscriber,4,17,42,72,493,4,48,8,4.708333333333333,404,479003325,21,56,0,0,0,0,0,3,0,0,0,0,0
85,RxJava,DefaultUnboundedFactory,1,6,8,14,139,0,9,8,6.666666666666667,70,266,11,11,0,0,0,0,0,0,0,0,0,0,0
86,RxJava,UnsubscribeObserver,8,30,75,139,955,13,94,10,5.01063829787234,882,109644827,25,113,0,0,0,0,0,5,0,0,0,0,0
87,RxJava,SingleHide,8,25,73,115,871,7,69,10,6.260869565217392,728,1279311575,22,99,0,0,0,0,0,1,0,0,0,0,0
88,RxJava,ObservableAny,9,35,121,209,1348,16,161,10,4.409937888198757,1123,-288155443,28,170,1,1,0,0,0,5,0,0,0,0,0
89,RxJava,MaybeFilter,9,35,114,193,1417,12,137,10,4.759124087591241,1040,2007821804,30,156,1,1,0,0,0,2,1,0,0,0,0
90,RxJava,UsingObserver,7,35,131,249,1656,20,230,15,3.7782608695652176,1190,109649905,33,201,3,3,0,0,0,8,2,0,0,0,0
91,RxJava,ParallelReduceFullMainSubscriber,5,50,163,331,1837,23,296,17,3.7027027027027026,1259,2004196204,43,242,1,1,4,1,2,11,4,0,0,0,0
92,RxJava,ObservableConverter,1,8,15,54,445,0,0,6,0,81,868,13,17,0,0,0,0,0,0,0,0,0,0,0
93,RxJava,BlockingFirstSubscriber,2,14,26,59,352,4,36,8,4.083333333333333,221,41850,20,38,0,0,0,0,0,2,1,0,0,0,0
94,RxJava,BoundedConsumer,2,9,16,21,223,1,13,7,6.769230769230769,155,10142,17,21,0,0,0,0,0,0,0,0,0,0,0
95,RxJava,BehaviorProcessor,31,125,705,2307,15668,97,1238,18,3.1050080775444266,6603,-767879538,48,1052,0,0,9,1,0,45,6,0,0,0,0
96,RxJava,ObservableFromUnsafeSource,2,10,21,30,271,1,13,7,9.307692307692308,182,41136,19,26,0,0,0,0,0,0,0,0,0,0,0
97,RxJava,BasicFuseableObserver,14,42,134,377,2696,15,181,13,4.30939226519337,1749,1484881748,39,193,0,0,0,0,0,8,0,0,0,0,0
98,RxJava,BadObservableConnect2,4,23,34,64,508,6,42,9,5.0476190476190474,308,364676,20,47,1,1,0,0,0,0,0,0,0,0,0
99,RxJava,ObservableFilter,6,34,87,150,911,8,103,12,5.203883495145631,702,3999343,29,113,1,1,1,0,0,3,1,0,1,0,0
100,RxJava,UsingSingleObserver,7,38,138,258,1591,20,231,15,3.9393939393939394,1270,-2102120213,33,208,3,3,0,0,0,8,2,0,0,0,0
101,RxJava,FlowableFilterTest,55,132,974,1887,11227,291,2167,22,2.772035071527457,8000,1899708474,33,1556,5,0,0,0,0,0,0,0,1,0,0
102,RxJava,AnySubscriber,6,35,85,156,977,13,130,9,3.8615384615384616,815,2004192115,30,126,1,1,0,0,0,5,0,0,0,0,0
103,RxJava,BufferExactBoundedObserver,9,64,223,396,2509,34,393,12,3.145038167938931,2386,-1375341181,33,341,3,3,0,0,0,8,0,0,0,0,0
104,RxJava,MergePublisherTckTest,1,13,22,33,252,6,26,11,4.653846153846154,144,933,14,35,0,0,0,0,0,0,0,0,0,0,0
105,RxJava,OnNextThread,5,20,85,142,1124,6,101,11,4.534653465346534,789,2004316795,30,121,0,0,1,0,0,2,0,0,0,0,0
